day_of_year,date,year,month,day,min_temp,max_temp,avg_temp,rain,snow,at_obs,total_rides,female_rides,male_rides,subscriber_rides,customer_rides,total_seconds,female_seconds,male_seconds,subscriber_seconds,customer_seconds,miles,female_miles,male_miles,subscriber_miles,customer_miles
312,20141108,2014,11,08,47,36,41.5,0.01,0.0,0,4091,811,2094,2905,1186,3875225,602248,1455884,2058132,1817093,4646.6,920.69,2304.59,3225.28,1421.32
313,20141109,2014,11,09,52,35,43.5,0,0.0,0,3629,770,1951,2721,908,3218153,540782,1131925,1672707,1545446,4033.9,898.13,2064.69,2962.82,1071.08
314,20141110,2014,11,10,62,41,51.5,0.00,0.0,0,7264,1440,5015,6456,808,5464933,1161637,3184523,4347048,1117885,8537.45,1733.37,5838.78,7572.62,964.83
315,20141111,2014,11,11,58,31,44.5,0.21,0.0,0,4764,926,3679,4605,159,3050221,568372,2249925,2818297,231924,5112.93,1027.3,3884.69,4911.99,200.94
316,20141112,2014,11,12,31,24,27.5,0,0,0,4604,890,3602,4492,112,2750800,562515,2015374,2577889,172911,4679.53,938.94,3621.37,4560.31,119.22
317,20141113,2014,11,13,29,24,26.5,0,0,0,3932,730,3071,3802,130,2420703,490527,1780443,2271639,149064,4075.44,799.67,3115.13,3915.61,159.83
318,20141114,2014,11,14,27,21,24.0,0,0,0,4054,718,3157,3875,179,2572913,499058,1876745,2375803,197110,4140.4,736.71,3175.17,3911.88,228.52
319,20141115,2014,11,15,31,17,24.0,0.04,1.4,0,2264,529,1337,1866,398,1836532,344872,783229,1128101,708431,2402.1,585.98,1343.59,1929.57,472.53
320,20141116,2014,11,16,31,18,24.5,0.01,0.2,0,1710,401,1077,1478,232,1192245,305532,612248,917780,274465,1780.61,420.05,1078.72,1498.77,281.84
321,20141117,2014,11,17,21,11,16.0,0,0.3,0,3091,493,2501,2994,97,2020995,348283,1590553,1938836,82159,2952.19,470.64,2380.31,2850.95,101.24
322,20141118,2014,11,18,19,9,14.0,0,0,0,2801,438,2279,2717,84,1703338,282450,1269095,1551545,151793,2796.51,445.04,2226.2,2671.24,125.27
323,20141119,2014,11,19,32,17,24.5,0,0,0,3581,617,2868,3485,96,2191878,457040,1662438,2119478,72400,3516.29,637.09,2776.22,3413.31,102.98
324,20141120,2014,11,20,27,14,20.5,0.00,0.0,0,3424,609,2713,3322,102,1967976,374047,1496446,1870493,97483,3456.51,626.91,2712.66,3339.57,116.94
325,20141121,2014,11,21,35,7,21.0,0.00,0.0,0,3708,607,2942,3549,159,2237889,385531,1702579,2088110,149779,3669.08,638.03,2892.38,3530.41,138.67
326,20141122,2014,11,22,52,33,42.5,0.07,0.0,0,2504,510,1592,2102,402,1934794,365268,1031393,1396661,538133,2691.87,576.37,1676.69,2253.06,438.81
327,20141123,2014,11,23,52,48,50.0,0.63,0.0,0,1665,351,1012,1363,302,1174537,224469,556375,780844,393693,1795.92,403.5,1036.36,1439.86,356.06
328,20141124,2014,11,24,49,24,36.5,0.43,0.7,0,1993,345,1618,1964,29,1135085,222993,873192,1110908,24177,1972.56,351.37,1592.08,1944.89,27.67
329,20141125,2014,11,25,26,18,22.0,0.01,0.2,0,3200,554,2537,3091,109,1815007,350852,1340004,1690856,124151,3062.24,580.64,2398.15,2978.79,83.45
330,20141126,2014,11,26,29,17,23.0,0,0,0,2635,494,2033,2527,108,1585372,304987,1147583,1452570,132802,2606.65,479.48,2008.5,2487.98,118.67
331,20141127,2014,11,27,27,15,21.0,0,0,0,706,147,415,562,144,546404,100847,237228,338075,208329,698.95,156.16,403.5,559.66,139.29
332,20141128,2014,11,28,34,18,26.0,0,0,0,1265,220,895,1115,150,816353,128445,478277,606722,209631,1240.96,222.29,873.79,1096.08,144.88
333,20141129,2014,11,29,51,29,40.0,0.00,0.0,0,2706,437,1189,1626,1080,2883345,404577,742141,1146718,1736627,3125.47,515.27,1314.39,1829.66,1295.81
334,20141130,2014,11,30,50,24,37.0,0,0.0,0,2048,464,1067,1531,517,1765165,336391,624831,961222,803943,2230.39,492.9,1142.94,1635.84,594.55
335,20141201,2014,12,01,25,18,21.5,0.00,0.0,0,3127,500,2513,3013,114,1820597,356737,1370625,1727362,93235,3044.64,501.13,2425.7,2926.83,117.81
336,20141202,2014,12,02,34,18,26.0,0,0,0,3866,673,3047,3721,145,2207496,397634,1642398,2040757,166739,3820.33,679.53,2998.38,3678.72,141.61
337,20141203,2014,12,03,37,24,30.5,0.00,0.0,0,4114,712,3166,3878,236,2652637,463044,1773646,2236690,415947,4259.89,769.66,3223.14,3992.8,267.09
338,20141204,2014,12,04,35,23,29.0,0.00,0.0,0,4177,781,3166,3947,230,2631128,517309,1772791,2290100,341028,4430.04,840.12,3295.22,4135.34,294.7
339,20141205,2014,12,05,40,32,36.0,0.00,0.0,0,4266,731,3264,3995,271,2711556,471155,1897300,2368455,343101,4569.43,827.89,3424.3,4252.19,317.24
340,20141206,2014,12,06,40,26,33.0,0.00,0.0,0,2399,543,1502,2046,353,1743996,345247,873498,1219739,524257,2599.65,577.91,1553.4,2132.69,466.96
341,20141207,2014,12,07,36,26,31.0,0.00,0.0,0,1864,460,1221,1681,183,1190788,302457,661142,963599,227189,2000.56,512.86,1268.21,1781.07,219.49
342,20141208,2014,12,08,37,32,34.5,0.20,0,0,2440,429,1948,2377,63,1363208,260238,1044959,1305197,58011,2509.0,472.56,1968.33,2440.89,68.11
343,20141209,2014,12,09,38,31,34.5,0,0.0,0,3000,514,2401,2916,84,2077237,466186,1510458,1976933,100304,3187.91,565.05,2522.21,3087.62,100.29
344,20141210,2014,12,10,33,28,30.5,0,0,0,3508,632,2792,3424,84,2200043,467125,1664068,2131193,68850,3660.57,672.92,2876.22,3549.14,111.43
345,20141211,2014,12,11,32,23,27.5,0.00,0.0,0,3769,655,2997,3652,117,2502317,416285,1797965,2214250,288067,3932.95,711.75,3074.96,3786.71,146.24
346,20141212,2014,12,12,37,23,30.0,0,0,0,3718,660,2868,3529,189,2440834,433587,1750800,2185096,255738,3818.01,740.86,2889.49,3631.12,186.89
347,20141213,2014,12,13,47,35,41.0,0.00,0.0,0,2805,627,1662,2289,516,2186995,479143,1019305,1498448,688547,2989.6,673.33,1743.15,2416.48,573.12
348,20141214,2014,12,14,50,45,47.5,0,0.0,0,3224,674,1720,2394,830,2824684,457734,1105478,1563212,1261472,3668.83,803.28,1946.08,2749.36,919.47
349,20141215,2014,12,15,46,42,44.0,0.06,0.0,0,3446,592,2544,3140,306,2400086,474785,1530166,2008623,391463,3701.9,659.7,2743.3,3405.1,296.8
350,20141216,2014,12,16,45,29,37.0,0.02,0.0,0,3728,636,2902,3541,187,2377201,394199,1803667,2199309,177892,3995.49,682.22,3116.31,3800.44,195.05
351,20141217,2014,12,17,29,24,26.5,0,0,0,3534,648,2730,3378,156,2145507,404028,1552638,1956666,188841,3631.28,686.08,2782.47,3468.55,162.73
352,20141218,2014,12,18,28,19,23.5,0.00,0.0,0,3457,584,2729,3313,144,2133209,365574,1614008,1979582,153627,3563.25,599.19,2820.33,3419.52,143.73
353,20141219,2014,12,19,32,27,29.5,0,0,0,3602,625,2811,3436,166,2359933,389464,1790525,2179989,179944,3742.05,643.77,2909.65,3553.42,188.63
354,20141220,2014,12,20,33,28,30.5,0,0,0,1918,383,1307,1690,228,1244692,221107,751208,972315,272377,1994.12,377.86,1377.7,1755.56,238.56
355,20141221,2014,12,21,36,31,33.5,0,0,0,1648,305,1064,1369,279,1405338,206707,695427,902134,503204,1795.21,323.83,1128.18,1452.01,343.2
356,20141222,2014,12,22,41,28,34.5,0.32,0,0,2064,349,1629,1978,86,1273749,223896,972256,1196152,77597,2183.31,370.46,1745.67,2116.13,67.18
357,20141223,2014,12,23,48,38,43.0,0.19,0.0,0,3650,556,2642,3198,452,2577243,386430,1560885,1947315,629928,3879.32,625.24,2764.4,3389.64,489.68
358,20141224,2014,12,24,40,36,38.0,0,0.0,0,1173,177,916,1093,80,850155,117582,621781,739363,110792,1190.26,194.31,916.95,1111.26,79.0
359,20141225,2014,12,25,42,33,37.5,0.00,0.0,0,812,114,327,441,371,987505,99594,209247,308841,678664,792.24,140.21,345.38,485.59,306.65
360,20141226,2014,12,26,50,36,43.0,0.00,0.0,0,2566,356,1252,1608,958,2659580,260805,819790,1080595,1578985,2692.64,383.97,1307.72,1691.69,1000.95
361,20141227,2014,12,27,49,31,40.0,0,0.0,0,1300,243,750,993,307,1039059,174477,446005,620482,418577,1282.32,249.88,739.66,989.54,292.78
362,20141228,2014,12,28,35,22,28.5,0.00,0.0,0,1323,221,716,937,386,1168609,135888,508396,644284,524325,1362.74,227.5,701.6,929.1,433.64
363,20141229,2014,12,29,30,19,24.5,0.00,0.0,0,2682,415,2023,2438,244,1645682,252171,1083184,1335355,310327,2720.33,442.24,2043.77,2486.01,234.32
364,20141230,2014,12,30,20,9,14.5,0.00,0.0,0,2180,350,1666,2016,164,1352346,209676,884122,1093798,258548,2114.77,353.84,1588.45,1942.29,172.48
365,20141231,2014,12,31,18,4,11.0,0.00,0.0,0,1417,253,1099,1352,65,761921,143721,545934,689655,72266,1267.52,239.24,958.89,1198.13,69.39
