day_of_year,date,year,month,day,min_temp,max_temp,avg_temp,rain,snow,at_obs,total_rides,female_rides,male_rides,subscriber_rides,customer_rides,total_seconds,female_seconds,male_seconds,subscriber_seconds,customer_seconds,miles,female_miles,male_miles,subscriber_miles,customer_miles
72,20140313,2014,03,13,39,11,25.0,0.00,0.0,3,1742,231,1443,1674,68,1255575,186854,917937,1104791,150784,1812.65,257.32,1469.03,1726.35,86.3
73,20140314,2014,03,14,53,37,45.0,0.00,0.0,2,3783,492,2500,2992,791,3409519,397403,1643264,2040667,1368852,4270.95,609.05,2747.28,3356.33,914.62
74,20140315,2014,03,15,40,27,33.5,0,0.2,0,1894,347,951,1298,596,2228734,337196,760235,1097431,1131303,2076.52,399.49,1002.27,1401.76,674.76
75,20140316,2014,03,16,27,19,23.0,0,0,0,749,154,490,644,105,538366,94389,315331,409720,128646,693.89,143.27,445.6,588.87,105.02
76,20140317,2014,03,17,40,20,30.0,0.00,0.0,0,2354,375,1773,2149,205,1760724,333809,1035241,1369377,391347,2441.86,443.57,1721.74,2165.72,276.14
77,20140318,2014,03,18,52,27,39.5,0,0.0,0,3684,598,2638,3237,447,2937229,466240,1680317,2147782,789447,4156.13,775.88,2861.17,3639.71,516.42
78,20140319,2014,03,19,46,34,40.0,0.19,0.0,0,2015,261,1529,1790,225,1536620,190018,979888,1169906,366714,2036.04,303.24,1522.29,1825.53,210.51
79,20140320,2014,03,20,47,30,38.5,0.04,0.7,0,3108,468,2286,2754,354,2340356,362676,1413244,1775920,564436,3349.69,576.68,2409.91,2986.59,363.1
80,20140321,2014,03,21,58,30,44.0,0.00,0.0,0,4199,612,2763,3375,824,3984710,575998,1969756,2545754,1438956,4804.15,774.75,3075.3,3850.05,954.1
81,20140322,2014,03,22,41,26,33.5,0.00,0.0,0,2314,368,1136,1504,810,2529829,271620,713217,984837,1544992,2542.7,428.29,1129.5,1557.79,984.91
82,20140323,2014,03,23,32,19,25.5,0.00,0.0,0,984,177,615,793,191,789621,114917,321215,436770,352851,959.53,172.26,576.17,748.78,210.75
83,20140324,2014,03,24,36,20,28.0,0.00,0.0,0,2429,361,1871,2232,197,1733024,254075,1169960,1424035,308989,2589.8,432.53,1945.65,2378.18,211.62
84,20140325,2014,03,25,31,20,25.5,0.05,0.6,1,2096,278,1733,2011,85,1436152,244045,1035686,1279731,156421,2152.04,308.2,1747.33,2055.53,96.51
85,20140326,2014,03,26,39,15,27.0,0.00,0.0,0,2571,356,2026,2382,189,1781434,245246,1261910,1507156,274278,2727.01,428.63,2114.58,2543.21,183.8
86,20140327,2014,03,27,55,34,44.5,0.20,0,0,1945,240,1588,1828,117,1260241,167543,956474,1124017,136224,1996.33,268.71,1609.35,1878.06,118.27
87,20140328,2014,03,28,55,34,44.5,0.06,0,0,2559,351,1907,2258,301,1840303,241743,1164335,1406078,434225,2760.57,411.48,2010.27,2421.75,338.82
88,20140329,2014,03,29,41,28,34.5,0.00,0.0,0,1920,342,1088,1430,490,1808810,273261,749527,1022788,786022,2168.72,453.49,1125.7,1579.19,589.53
89,20140330,2014,03,30,57,25,41.0,0.00,0.0,0,4865,585,1587,2173,2692,6419826,511929,1153742,1667703,4752123,5886.16,717.53,1867.51,2588.01,3298.15
90,20140331,2014,03,31,68,41,54.5,0,0.0,0,5596,889,3418,4308,1288,5317939,732167,2394507,3128236,2189703,6923.73,1198.96,4049.92,5250.72,1673.01
91,20140401,2014,04,01,57,32,44.5,0.00,0.0,0,3756,542,2782,3324,432,3194061,499933,1840568,2340501,853560,4238.41,674.54,3041.25,3715.79,522.62
92,20140402,2014,04,02,45,34,39.5,0,0.0,0,3733,583,2793,3378,355,2850904,526740,1696757,2225030,625874,4056.07,711.08,2915.62,3628.56,427.51
93,20140403,2014,04,03,43,35,39.0,0.53,0.0,0,1745,267,1370,1637,108,1090787,189479,788899,978378,112409,1713.28,296.36,1300.6,1596.96,116.32
94,20140404,2014,04,04,48,34,41.0,0,0.0,0,2609,351,2014,2366,243,1997294,304507,1276645,1582463,414831,2719.28,403.23,2023.55,2428.15,291.13
95,20140405,2014,04,05,51,31,41.0,0.00,0.0,0,3994,564,1614,2178,1816,5009909,516461,1326353,1842814,3167095,4759.23,658.94,1754.13,2413.07,2346.16
96,20140406,2014,04,06,57,31,44.0,0.00,0.0,0,4732,581,1598,2179,2553,5931440,461755,1162723,1624478,4306962,5918.14,743.92,1819.83,2563.75,3354.39
97,20140407,2014,04,07,54,36,45.0,0.00,0.0,0,4253,731,2974,3706,547,3212368,690527,1862972,2553901,658467,4914.5,968.59,3294.15,4263.15,651.35
98,20140408,2014,04,08,60,40,50.0,0.02,0.0,0,4868,826,3378,4204,664,4158778,657430,2221516,2878946,1279832,5642.25,1081.99,3718.14,4800.13,842.12
99,20140409,2014,04,09,62,33,47.5,0.00,0.0,0,6322,1163,3942,5106,1216,6269294,1006944,2785581,3796435,2472859,7853.79,1566.47,4608.87,6181.25,1672.54
100,20140410,2014,04,10,66,41,53.5,0,0.0,0,5990,1026,3837,4865,1125,5272895,924644,2604832,3530075,1742820,7278.74,1340.31,4479.81,5820.82,1457.92
101,20140411,2014,04,11,70,37,53.5,0.00,0.0,0,8823,1187,4329,5518,3305,10254332,1068369,3077035,4145896,6108436,10914.19,1560.87,5215.93,6777.5,4136.69
102,20140412,2014,04,12,80,44,62.0,0.00,0.0,0,10956,1101,2738,3840,7116,16094885,1090947,2145335,3236567,12858318,13522.14,1405.53,3234.72,4640.6,8881.54
103,20140413,2014,04,13,69,42,55.5,0.43,0.0,0,3274,410,1215,1626,1648,3723476,288883,746490,1036076,2687400,3524.02,465.93,1284.04,1750.52,1773.5
104,20140414,2014,04,14,63,30,46.5,0.30,1.4,0,1777,242,1360,1603,174,1213372,173306,705574,879160,334212,1690.63,248.6,1264.32,1513.27,177.36
105,20140415,2014,04,15,38,26,32.0,0,0,1,2470,355,1939,2294,176,1805812,410865,1122794,1533659,272153,2489.75,397.53,1879.46,2276.99,212.76
106,20140416,2014,04,16,52,26,39.0,0.00,0.0,0,4298,704,3040,3745,553,3477907,680153,1923935,2606125,871782,4704.59,838.14,3243.67,4084.47,620.12
107,20140417,2014,04,17,62,40,51.0,0.00,0.0,0,6336,884,3649,4533,1803,6328369,754635,2464112,3218747,3109622,7463.56,1155.4,4172.08,5327.48,2136.08
108,20140418,2014,04,18,51,38,44.5,0.00,0.0,0,5419,817,3027,3845,1574,5189784,755873,1902119,2658629,2531155,6124.44,998.82,3368.22,4368.14,1756.3
109,20140419,2014,04,19,66,37,51.5,0.00,0.0,0,7539,760,2076,2838,4701,10347228,675312,1497046,2173093,8174135,9344.68,944.19,2315.16,3260.17,6084.51
