day_of_year,day_of_week,date,year,month,day,min_temp,max_temp,avg_temp,rain,snow,at_obs,rides_total,female_rides,male_rides,subscriber_rides,customer_rides,total_seconds,female_seconds,male_seconds,subscriber_seconds,customer_seconds
36,Wed,20140205,2014,02,05,25,9,17.0,0.35,5.7,10,509,46,456,502,7,325436,27734,287951,315685,9751
45,Fri,20140214,2014,02,14,22,12,17.0,0.0,0.0,9,1338,181,1117,1298,40,887250,114288,653501,767789,119461
59,Fri,20140228,2014,02,28,30,3,16.5,0.0,0.0,2,1473,198,1213,1411,62,1088060,136217,797542,933759,154301
1,Wed,20140101,2014,01,01,22,10,16.0,0.25,2.1,3,123,19,80,99,24,100383,12819,56928,69747,30636
17,Fri,20140117,2014,01,17,20,12,16.0,0.04,1.1,0,1427,184,1198,1382,45,990842,153513,711124,864637,126205
321,Mon,20141117,2014,11,17,21,11,16.0,0.0,0.3,0,3091,493,2501,2994,97,2020995,348283,1590553,1938836,82159
35,Tue,20140204,2014,02,04,24,7,15.5,0.08,1.3,6,1208,138,1040,1178,30,797539,174581,589134,763715,33824
364,Tue,20141230,2014,12,30,20,9,14.5,0.0,0.0,0,2180,350,1666,2016,164,1352346,209676,884122,1093798,258548
18,Sat,20140118,2014,01,18,21,7,14.0,0.12,2.4,1,414,81,296,377,37,318591,51031,185867,236898,81693
56,Tue,20140225,2014,02,25,22,6,14.0,0.0,0.0,2,1527,182,1292,1474,53,1005384,179398,767978,947376,58008
322,Tue,20141118,2014,11,18,19,9,14.0,0.0,0.0,0,2801,438,2279,2717,84,1703338,282450,1269095,1551545,151793
46,Sat,20140215,2014,02,15,24,3,13.5,0.04,0.7,9,728,125,525,650,78,484303,84730,299617,384347,99956
5,Sun,20140105,2014,01,05,29,-3,13.0,0.59,8.7,9,33,5,27,32,1,25476,3713,19875,23588,1888
29,Wed,20140129,2014,01,29,23,1,12.0,0.0,0.0,3,1072,134,918,1052,20,665851,81510,566530,648040,17811
9,Thu,20140109,2014,01,09,27,-4,11.5,0.01,0.3,9,860,94,746,840,20,597978,91373,483454,574827,23151
40,Sun,20140209,2014,02,09,19,4,11.5,0.0,0.0,13,338,48,275,323,15,292160,88963,187073,276036,16124
24,Fri,20140124,2014,01,24,28,-6,11.0,0.02,0.4,4,896,76,800,876,20,476732,43799,420006,463805,12927
58,Thu,20140227,2014,02,27,18,4,11.0,0.0,0.0,2,1111,105,976,1081,30,602850,61334,505500,566834,36016
365,Wed,20141231,2014,12,31,18,4,11.0,0.0,0.0,0,1417,253,1099,1352,65,761921,143721,545934,689655,72266
39,Sat,20140208,2014,02,08,16,5,10.5,0.07,2.5,11,300,23,273,296,4,252289,17008,219942,236950,15339
